,rank,countries,scores,GDP,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,suicide_rank,both_sexes
0,1,Finland,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.192,"0.393
",32,13.8
1,2,Norway,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,"0.340
",74,10.1
2,3,Denmark,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,"0.408
",89,9.2
3,4,Iceland,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,"0.138
",40,13.3
4,5,Switzerland,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,"0.357
",61,11.3
5,6,Netherlands,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,"0.295
",81,9.6
6,7,Canada,7.327999999999999,1.33,1.5319999999999998,0.8959999999999999,0.653,0.321,"0.291
",72,10.4
7,8,New Zealand,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,"0.389
",53,11.6
8,9,Sweden,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,"0.383
",51,11.7
9,10,Australia,7.272,1.34,1.5730000000000002,0.91,0.647,0.361,"0.302
",51,11.7
10,11,Israel,7.19,1.244,1.433,0.888,0.46399999999999997,0.262,"0.082
",147,5.2
11,12,Austria,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,"0.224
",59,11.4
12,13,Costa Rica,7.072,1.01,1.459,0.8170000000000001,0.632,0.14300000000000002,"0.101
",110,7.5
13,14,Republic of Ireland,6.977,1.4480000000000002,1.5830000000000002,0.8759999999999999,0.614,0.307,"0.306
",66,10.9
14,15,Germany,6.965,1.34,1.474,0.861,0.586,0.273,"0.280
",90,9.1
15,16,Belgium,6.9270000000000005,1.324,1.483,0.894,0.583,0.188,"0.240
",22,15.7
16,17,Luxembourg,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,"0.321
",72,10.4
17,18,United States,6.886,1.3980000000000001,1.4709999999999999,0.8190000000000001,0.547,0.29100000000000004,"0.133
",34,13.7
18,19,United Kingdom,6.814,1.301,1.5590000000000002,0.883,0.5329999999999999,0.354,"0.272
",109,7.6
19,20,United Arab Emirates,6.774,2.096,0.7759999999999999,0.67,0.284,0.18600000000000003,N/A,173,2.7
20,21,Czech Republic,6.711,1.2329999999999999,1.489,0.8540000000000001,0.5429999999999999,0.064,"0.034
",69,10.5
21,22,Malta,6.627000000000001,1.27,1.525,0.884,0.645,0.376,"0.142
",124,6.5
22,23,France,6.489,1.2930000000000001,1.466,0.9079999999999999,0.52,0.098,"0.176
",48,12.1
23,24,Mexico,6.4879999999999995,1.038,1.252,0.7609999999999999,0.479,0.069,"0.095
",147,5.2
24,25,Chile,6.476,1.131,1.331,0.8079999999999999,0.431,0.19699999999999998,"0.061
",79,9.7
25,27,Panama,6.43,1.112,1.4380000000000002,0.759,0.597,0.125,"0.063
",152,4.4
26,28,Brazil,6.419,0.986,1.474,0.675,0.493,0.11,"0.088
",130,6.1
27,29,Argentina,6.388,1.073,1.4680000000000002,0.7440000000000001,0.57,0.062,"0.054
",90,9.1
28,30,Guatemala,6.382000000000001,0.7809999999999999,1.268,0.608,0.604,0.179,"0.071
",172,2.9
29,31,Uruguay,6.379,1.093,1.459,0.7709999999999999,0.625,0.13,"0.155
",19,16.5
30,32,Qatar,6.374,1.649,1.3030000000000002,0.748,0.654,0.256,"0.171
",137,5.8
31,33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509,0.098,"0.127
",163,3.4
32,34,Singapore,6.343,1.5290000000000001,1.4509999999999998,1.008,0.631,0.261,"0.457
",105,7.9
33,35,Malaysia,6.322,1.161,1.258,0.669,0.35600000000000004,0.311,"0.059
",128,6.2
34,36,Spain,6.31,1.251,1.538,0.965,0.449,0.142,"0.074
",130,6.1
35,37,Colombia,6.26,0.96,1.439,0.635,0.531,0.099,"0.039
",119,7.0
36,38,Trinidad and Tobago,6.192,1.2229999999999999,1.492,0.564,0.575,0.171,"0.019
",43,12.9
37,39,Slovakia,6.172999999999999,1.21,1.537,0.7759999999999999,0.354,0.11800000000000001,"0.014
",74,10.1
38,40,El Salvador,6.167000000000001,0.8059999999999999,1.2309999999999999,0.639,0.461,0.065,"0.082
",36,13.5
39,41,Nicaragua,6.141,0.6679999999999999,1.319,0.7,0.527,0.20800000000000002,"0.128
",49,11.9
40,42,Poland,6.122999999999999,1.176,1.4480000000000002,0.7809999999999999,0.546,0.10800000000000001,"0.064
",37,13.4
41,43,Bahrain,6.105,1.338,1.3659999999999999,0.698,0.594,0.243,"0.123
",138,5.7
42,44,Uzbekistan,6.096,0.7190000000000001,1.584,0.605,0.7240000000000001,0.32799999999999996,"0.259
",112,7.4
43,45,Kuwait,6.082999999999999,1.474,1.301,0.675,0.5539999999999999,0.16699999999999998,"0.106
",178,2.2
44,46,Thailand,6.072,1.016,1.4169999999999998,0.7070000000000001,0.637,0.364,"0.029
",43,12.9
45,47,Italy,6.0,1.264,1.501,0.946,0.281,0.13699999999999998,"0.028
",142,5.5
46,48,Ecuador,5.973,0.889,1.33,0.736,0.556,0.114,"0.120
",116,7.2
47,49,Belize,5.956,0.807,1.101,0.474,0.593,0.183,"0.089
",134,5.9
48,50,Lithuania,5.952000000000001,1.197,1.527,0.716,0.35,0.026000000000000002,"0.006
",4,25.7
49,51,Slovenia,5.9479999999999995,1.219,1.506,0.856,0.633,0.16,"0.051
",40,13.3
50,52,Romania,5.945,1.1159999999999999,1.219,0.726,0.528,0.08800000000000001,"0.001
",103,8.0
51,53,Latvia,5.933,1.148,1.454,0.6709999999999999,0.363,0.092,"0.066
",16,17.2
52,54,Japan,5.915,1.294,1.462,0.988,0.5529999999999999,0.079,"0.150
",30,14.3
53,55,Mauritius,5.891,1.09,1.3869999999999998,0.684,0.584,0.245,"0.050
",114,7.3
54,56,Jamaica,5.89,0.8190000000000001,1.493,0.693,0.575,0.096,"0.031
",179,2.0
55,57,South Korea,5.875,1.266,1.204,0.955,0.244,0.175,"0.051
",10,20.2
56,59,Russia,5.81,1.151,1.479,0.599,0.39899999999999997,0.065,"0.025
",3,26.5
57,60,Kazakhstan,5.79,1.143,1.516,0.631,0.45399999999999996,0.14800000000000002,"0.121
",7,22.8
58,61,Cyprus,5.7620000000000005,1.229,1.1909999999999998,0.909,0.423,0.20199999999999999,"0.035
",150,4.5
59,62,Bolivia,5.752000000000001,0.7509999999999999,1.2229999999999999,0.508,0.606,0.141,"0.054
",43,12.9
